Variable Code,Human-Readable Name,File Name,Reasoning
RIAGENDR,Gender of the participant.,DEMO_L,Sex influences reference intervals for many tests
RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are top-coded at 80 years of age.,DEMO_L,Age is a major factor that influences reference ranges and clinical significance for tests like lipids and ALP.
RIDEXMON,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.",DEMO_L,Seasons cause variations in tsh and vitamin d
DBD100,How often {do you/does SP} add this salt to {your/his/her/SP's} food at the table?  Would you say . . .,DR1TOT_L,Dietary sodium intake is a lifestyle factor that influences renal function tests
DRQSPREP,"How often is ordinary salt or seasoned salt added in cooking or preparing foods in your household?  Is it never, rarely, occasionally, or very often?",DR1TOT_L,Dietary sodium intake is a lifestyle factor that influences renal function tests
DR1TKCAL,Energy (kcal),DR1TOT_L,Total calorie intake is a key lifestyle factor influencing metabolic lab results.
DR1TPROT,Protein (gm),DR1TOT_L,"High dietary protein can increase uric acid and urea levels, impacting renal function tests."
DR1TCARB,Carbohydrate (gm),DR1TOT_L,Carbohydrate intake is a lifestyle factor affecting glycemic markers and triglyceride levels.
DR1TSUGR,Total sugars (gm),DR1TOT_L,Sugar consumption is a dietary factor linked to altered glycemic control markers.
DR1TTFAT,Total fat (gm),DR1TOT_L,Total fat intake is a dietary factor that directly influences the lipid profile
DR1TCAFF,Caffeine (mg),DR1TOT_L,Caffeine consumption is a lifestyle factor that can influence physiological measurements and lab tests.
DR1_320Z,"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water.",DR1TOT_L,Hydration status affects the concentration of blood parameters like hematocrit and electrolytes.
DR2TKCAL,Energy (kcal),DR2TOT_L,Total calorie intake is a key lifestyle factor influencing body weight and metabolic lab results.
DR2TPROT,Protein (gm),DR2TOT_L,"High dietary protein can increase uric acid and urea levels, impacting renal function tests."
DR2TCARB,Carbohydrate (gm),DR2TOT_L,Carbohydrate intake is a lifestyle factor affecting glycemic markers and triglyceride levels.
DR2TSUGR,Total sugars (gm),DR2TOT_L,Sugar consumption is linked to metabolic syndrome and altered glycemic control markers.
DR2TTFAT,Total fat (gm),DR2TOT_L,Total fat intake is a dietary factor that directly influences the lipid profiles
DR2TCHOL,Cholesterol (mg),DR2TOT_L,Dietary cholesterol intake is a lifestyle factor affecting serum lipid levels.
DR2_320Z,"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water.",DR2TOT_L,Hydration status (water intake) affects the concentration of blood parameters like hematocrit and electrolytes.
BMXBMI,Body Mass Index (kg/m**2),BMX_L,"Body Mass Index is a primary indicator of obesity, a lifestyle-related cause of abnormal LFTs and metabolic syndrome."
ALQ121,"During the past 12 months, about how often did you drink any type of alcoholic beverage?
PROBE: In other words, how many days per week, per month, or per year did you drink?",ALQ_L,Alcohol consumption is a key lifestyle factor that causes liver damage and affects liver function tests.
ALQ130,"During the past 12 months, on those days that you drank alcoholic beverages, on average, how many drinks did you have? (By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor.)",ALQ_L,Alcohol consumption is a key lifestyle factor that causes liver damage and affects liver function tests.
PAD790Q,"The next questions are about physical activities such as exercise, sports, or physically active hobbies that you may do in your leisure time. We are interested in two types of physical activity: moderate and vigorous-intensity. Moderate-intensity activities cause moderate increases in breathing or heart rate whereas vigorous-intensity activities cause large increases in breathing or heart rate.  How often {do you/does SP} do moderate-intensity leisure-time physical activities?",PAQ_L,Physical activity alters biochemical parameters and metabolic health.
PAD800,About how long {do you/does SP} do these moderate leisure-time physical activities each time?,PAQ_L,Physical activity alters biochemical parameters and metabolic health.
PAD810Q,How often {do you/does SP} do vigorous-intensity leisure-time physical activities?,PAQ_L,Physical activity alters biochemical parameters and metabolic health.
PAD680,"The following question is about sitting at school, at home, getting to and from places, or with friends including time spent sitting at a desk, traveling in a car or bus, reading, playing cards, watching television, or using a computer. Do not include time spent sleeping. How much time {do you/does SP} usually spend sitting on a typical day?",PAQ_L,Physical activity alters biochemical parameters and metabolic health.
SLQ300,What time {do you/does SP} usually fall asleep on weekdays or workdays?,SLQ_L,Sleep can impact blood sugar regulation
SLQ310,What time {do you/does SP} usually wake up on weekdays or workdays?,SLQ_L,Sleep can impact blood sugar regulation
SLD012,Number of hours usually sleep on weekdays or workdays.,SLQ_L,Sleep can impact blood sugar regulation
DPQ030,"[Over the last 2 weeks, how often have you been bothered by the following problems:] trouble falling or staying asleep, or sleeping too much?",DPQ_L,Sleep can impact blood sugar regulation
SMQ040,{Do you/Does SP} now smoke cigarettes?,SMQ_L,Smoking is a major modifiable lifestyle factor that increases cardiovascular risk and alters lab results.
SMD641,On how many of the past 30 days did {you/SP} smoke a cigarette?,SMQ_L,Smoking is a major modifiable lifestyle factor that increases cardiovascular risk and alters lab results.
SMDANY,Used any tobacco product last 5 days?,SMQRTU_L,Use of tobacco products impacts cardiometabolic health markers.
