Variable Code,Reasoning,Merck Link
BAQ132,"Dizziness can result from electrolyte imbalances (e.g., hyponatremia) or severe anemia causing cerebral hypoxia.",https://www.merckmanuals.com/professional/ear-nose-and-throat-disorders/approach-to-the-patient-with-ear-problems/dizziness-and-vertigo
BAQ321D,Light-headedness and near-syncope are clinical signs of orthostatic hypotension often linked to dehydration or anemia.,https://www.merckmanuals.com/professional/ear-nose-and-throat-disorders/approach-to-the-patient-with-ear-problems/dizziness-and-vertigo
FNQ410,Blurred vision is a primary symptom of hyperglycemia in Diabetes Mellitus due to osmotic changes in the lens.,https://www.merckmanuals.com/professional/eye-disorders/symptoms-of-ophthalmologic-disorders/blurred-vision
FNQ460,Memory and concentration problems (confusion) are signs of metabolic encephalopathy from renal or liver failure.,https://www.merckmanuals.com/professional/neurologic-disorders/delirium-and-dementia/delirium
FNQ530,Depressive symptoms are associated with various chronic medical conditions and nutritional deficiencies like Vitamin D.,https://www.merckmanuals.com/professional/psychiatric-disorders/mood-disorders/depressive-disorders
KIQ481,Nocturia is a common symptom of Diabetes Mellitus (osmotic diuresis) and Chronic Kidney Disease.,https://www.merckmanuals.com/professional/nephrology/symptoms-of-nephrologic-disorders/polyuria?_gl=1*115egte*_up*MQ..*_ga*NDAxODUyNTQuMTc3NTE4MDI4Mw..*_ga_CJ792HFYYC*czE3NzUxODAyODMkbzEkZzAkdDE3NzUxODAyODMkajYwJGwwJGgw
DPQ040,"Fatigue is a hallmark of Anemia, Chronic Kidney Disease, and Hepatic Failure.",https://www.merckmanuals.com/professional/special-subjects/nonspecific-symptoms/fatigue?qt=chronic+fatigue+syndrome#Evaluation_v11676068
DPQ050,Appetite changes are key diagnostic criteria for mood disorders and symptoms of metabolic/endocrine dysfunction.,https://www.merckmanuals.com/professional/psychiatric-disorders/mood-disorders/depressive-disorders
DPQ070,"Difficulty concentrating is a common manifestation of depressive disorders and nutritional deficiencies (e.g., Vitamin B12).",https://www.merckmanuals.com/professional/psychiatric-disorders/mood-disorders/depressive-disorders
BPXOSY1,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932148
BPXODI1,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932149
BPXOSY2,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932150
BPXODI2,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932151
BPXOSY3,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932152
BPXODI3,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932153
