Variable Code,Human-Readable Name,File Name,Reasoning,Merck Link
BAQ132,"Problems with dizzy, past 24 hours",BAX_L,"Dizziness can result from electrolyte imbalances (e.g., hyponatremia) or severe anemia causing cerebral hypoxia.",https://www.merckmanuals.com/professional/ear-nose-and-throat-disorders/approach-to-the-patient-with-ear-problems/dizziness-and-vertigo
BAQ321D,"The next questions are about symptoms of dizziness, light-headedness, or balance problems. Do not include times when drinking alcohol, using recreational drugs, or taking medications that cause dizziness. In the past 12 months, {have you/has SP} had problems with...
light-headedness - without a sense of motion, OR fainting - a feeling {you are/he is/she is/SP is} going to pass out or faint",BAQ_L,Light-headedness and near-syncope are clinical signs of orthostatic hypotension often linked to dehydration or anemia.,https://www.merckmanuals.com/professional/ear-nose-and-throat-disorders/approach-to-the-patient-with-ear-problems/dizziness-and-vertigo
FNQ410,"Please look at card FNQ1. The next questions ask about difficulties {you/SP} may have doing certain activities because of a health problem. {Do you/Does SP} have difficulty seeing even if wearing glasses or contact lenses? Would you say no difficulty, some difficulty, a lot of difficulty, or {you/he/she/SP} cannot do this at all?",FNQ_L,Blurred vision is a primary symptom of hyperglycemia in Diabetes Mellitus due to osmotic changes in the lens.,https://www.merckmanuals.com/professional/eye-disorders/symptoms-of-ophthalmologic-disorders/blurred-vision
FNQ460,"{Do you/Does SP} have difficulty remembering or concentrating? [Would you say no difficulty, some difficulty, a lot of difficulty, or {you/he/she/SP} cannot do this at all?]",FNQ_L,Memory and concentration problems (confusion) are signs of metabolic encephalopathy from renal or liver failure.,https://www.merckmanuals.com/professional/neurologic-disorders/delirium-and-dementia/delirium
FNQ530,How often {do you/does SP} feel depressed? Would you say. . .,FNQ_L,Depressive symptoms are associated with various chronic medical conditions and nutritional deficiencies like Vitamin D.,https://www.merckmanuals.com/professional/psychiatric-disorders/mood-disorders/depressive-disorders
KIQ481,"In the past 30 days, during a typical night, how many times did you wake up and urinate?",KIQ_U_L,Nocturia is a common symptom of Diabetes Mellitus (osmotic diuresis) and Chronic Kidney Disease.,https://www.merckmanuals.com/professional/nephrology/symptoms-of-nephrologic-disorders/polyuria?_gl=1*115egte*_up*MQ..*_ga*NDAxODUyNTQuMTc3NTE4MDI4Mw..*_ga_CJ792HFYYC*czE3NzUxODAyODMkbzEkZzAkdDE3NzUxODAyODMkajYwJGwwJGgw
DPQ040,"[Over the last 2 weeks, how often have you been bothered by the following problems:] feeling tired or having little energy?",DPQ_L,"Fatigue is a hallmark of Anemia, Chronic Kidney Disease, and Hepatic Failure.",https://www.merckmanuals.com/professional/special-subjects/nonspecific-symptoms/fatigue?qt=chronic+fatigue+syndrome#Evaluation_v11676068
DPQ050,"[Over the last 2 weeks, how often have you been bothered by the following problems:] poor appetite or overeating?",DPQ_L,Appetite changes are key diagnostic criteria for mood disorders and symptoms of metabolic/endocrine dysfunction.,https://www.merckmanuals.com/professional/psychiatric-disorders/mood-disorders/depressive-disorders
DPQ070,"[Over the last 2 weeks, how often have you been bothered by the following problems:] trouble concentrating on things, such as reading the newspaper or watching TV?",DPQ_L,"Difficulty concentrating is a common manifestation of depressive disorders and nutritional deficiencies (e.g., Vitamin B12).",https://www.merckmanuals.com/professional/psychiatric-disorders/mood-disorders/depressive-disorders
BPXOSY1,Systolic - 1st oscillometric reading,BPXO_L,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932148
BPXODI1,Diastolic - 1st oscillometric reading,BPXO_L,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932149
BPXOSY2,Systolic - 2nd oscillometric reading,BPXO_L,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932150
BPXODI2,Diastolic - 2nd oscillometric reading,BPXO_L,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932151
BPXOSY3,Systolic - 3rd oscillometric reading,BPXO_L,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932152
BPXODI3,Diastolic - 3rd oscillometric reading,BPXO_L,Hypertension can be caused by kidney or thyroid problems,https://www.merckmanuals.com/professional/cardiovascular-disorders/hypertension/hypertension?query=high%20blood%20pressure#Etiology_v932153
