Variable Code,Function Group,Reasoning,
LBXGH,Metabolic/Glycemic,"HbA1c reflects average blood glucose over months, a direct indicator of dietary lifestyle.",
LBXIN,Metabolic/Glycemic,Insulin levels are directly influenced by dietary carbohydrate intake and obesity.,
LBXGLU,Metabolic/Glycemic,"Fasting glucose is a standard test for diabetes, heavily influenced by diet.",
LBXSUA,Metabolic/Glycemic,Uric acid levels are increased by high protein diets and alcohol consumption.,
LBXTLG,Lipid Panel,"Calorie deficits, dehydration, physical activity, age and alcohol can all impact lipid panels",
LBDLDLN,Lipid Panel,"Calorie deficits, dehydration, physical activity, age and alcohol can all impact lipid panels",
LBDHDD,Lipid Panel,"Calorie deficits, dehydration, physical activity, age and alcohol can all impact lipid panels",
LBXTC,Lipid Panel,"Calorie deficits, dehydration, physical activity, age and alcohol can all impact lipid panels",
LBXHGB,Blood Count,Hemoglobin levels can be influenced by dietary iron intake and lifestyle factors like smoking.,
LBXHCT,Blood Count,"Hematocrit is sensitive to hydration status, a key lifestyle factor mentioned in laboratory preparation.",
LBXWBCSI,Blood Count,WBC count can be elevated due to smoking and acute physical activity.,
LBXSBU,Kidney Function,Urea/BUN is significantly affected by dietary protein intake and hydration.,
LBXSCR,Kidney Function,Serum creatinine levels are influenced by muscle mass and high-intensity exercise.,
LBXSASSI,Liver Function,AST is a liver enzyme affected by alcohol consumption and obesity-related fatty liver.,
LBXSATSI,Liver Function,"ALT is the primary marker for non-alcoholic fatty liver disease (NAFLD), linked to BMI and diet.",
LBXSAPSI,Liver Function,ALP levels vary significantly with age and can indicate liver or bone changes driven by lifestyle.,
LBXSAL,Liver Function,Albumin is a marker of chronic nutritional status and inflammation related to lifestyle.,
LBXSTB,Liver Function,Bilirubin levels can be influenced by fasting and alcohol consumption.,
LBXSGTSI,Liver Function,GGT is a sensitive marker for alcohol intake and metabolic syndrome.,
LBXVIDMS,Micronutrient Status,Vitamin D levels are directly affected by sun exposure and dietary supplementation.,
LBXFER,Micronutrient Status,Ferritin is an acute-phase reactant and marker of iron stores affected by diet.,
LBXHSCRP,Inflammatory Marker,hs-CRP is a marker of systemic inflammation often elevated in obesity.,
